addr,name,lat,lon,sectors,constructor,completion,households,heating,heating_resource,max_floor,min_floor,parking_per_house,parking_lot,community,min_area_supply,max_area_supply,min_area_use,max_area_use,addr_street,apartment_status,slope,taxi_dropoff_ratio,taxi_dropoff_ratio_morning_peak,average_income_year,floor_area_ratio,parking_lot_under,slope_ratio,pop,pop_density_10s,pop_ratio_50s,pop_ratio_60s_man,uuid
서울시 서초구 방배동 816-1,방배한신트리플,37.491455,126.989142,1동,한신공영(주),2004,163,개별난방,도시가스,12층,7층,1,0,0,35.76,97.04,28.81,78.19,서울시 서초구 방배로33길 29,아파트,1,21.74,15.38,4725,400,0,1,489,0.075664622,0.18404908,0.040899796,apartment_1165010127
서울시 서초구 서초동 1467-62,서초e-편한세상5차,37.479732,127.007187,2동,대림산업(주),2005,161,개별난방,도시가스,15층,10층,2.46,0,1,190.3,190.3,158.24,158.24,서울시 서초구 명달로4길 30,아파트,1,46.15,21.43,21651,900,1,7,460,0.110869565,0.226086957,0.095652174,apartment_1165010832
서울시 서초구 서초동 1498-5,마제스타시티힐스테이트서리풀,37.490268,127.005958,2동,현대엔지니어링(주),2017,116,개별난방,도시가스,22층,10층,1.29,0,1,88.02,88.47,59.95,59.97,서울시 서초구 서초대로38길 12,아파트,1,55.56,88.14,17317,700,1,6,503,0.067594433,0.159045726,0.061630219,apartment_1165010834
서울시 서초구 서초동 1575-1,지웰홈스서초,37.491985,127.013372,1동,신영건설주식회사,2019,154,개별난방,도시가스,19층,18층,0.52,0,1,22.65,33.97,14.1,21.22,서울시 서초구 반포대로28길 94,아파트,1,54.09,60.56,6423,600,1,2,363,0.024793388,0.099173554,0.049586777,apartment_1165010856
서울시 서초구 잠원동 52-2 외 1필지,르엘신반포파크애비뉴,37.517205,127.013767,3동,롯데건설(주),2023,330,지역난방,열병합,35층,14층,0,0,1,66.67,156.72,49.98,118.97,서울시 서초구 잠원동 52-2,아파트분양권,1,40.91,9.09,12293,900,0,4,267,0.172284644,0.127340824,0.026217228,apartment_1165010649
서울시 서초구 반포동 12,신반포15차,37.504054,126.993632,8동,한신공영(주),1982,180,개별난방,열병합,5층,5층,1.05,0,0,146.02,217.74,122.1,181.75,서울시 서초구 신반포로15길 5,재건축,1,50,37.5,6500,500,0,3,20,0.25,0,0,apartment_1165010705
서울시 서초구 잠원동 60-7,녹원한신,37.511972,127.011443,2동,한신공영주식회사,1995,240,지역난방,열병합,15층,15층,1.02,0,0,98.87,99.14,84.75,84.95,서울시 서초구 잠원로4길 34-11,재건축,1,33.33,14.29,9700,1100,1,2,634,0.105678233,0.187697161,0.069400631,apartment_1165010629
서울시 서초구 잠원동 59-10,신반포21차,37.509409,127.014236,2동,한신공영(주),1984,108,지역난방,열병합,10층,8층,1.07,0,0,129.25,145.37,117.07,129.47,서울시 서초구 신반포로 267,재건축,1,77.78,50,18587,700,1,10,634,0.105678233,0.187697161,0.069400631,apartment_1165010624
서울시 서초구 방배동 3275,방배동부센트레빌,37.497662,126.987973,3동,동부건설(주),2004,122,개별난방,도시가스,22층,18층,2.19,0,1,164.49,191.55,134.04,157.55,서울시 서초구 방배로 278,아파트,1,74.29,68.18,21409,700,1,2,373,0.198391421,0.18766756,0.069705094,apartment_1165010114
서울시 서초구 방배동 3277,방배아이파크,37.49164,126.985,2동,현대산업개발(주),2006,138,개별난방,도시가스,15층,9층,1.71,0,1,114.5,199.17,84.32,157.56,서울시 서초구 동광로3길 18,아파트,1,39.29,23.08,10030,400,0,2,439,0.16856492,0.214123007,0.054669704,apartment_1165010115
서울시 서초구 서초동 1633-4,헤센파크힐,37.491174,127.022487,1동,신한종합건설(주),2018,102,개별난방,도시가스,7층,7층,0.84,1,0,32.22,54.58,18.34,32.58,서울시 서초구 사임당로 115,아파트,1,47.06,37.5,1550,700,1,6,438,0.105022831,0.141552511,0.050228311,apartment_1165010842
서울시 서초구 잠원동 74번지 외 1필지,르엘신반포,37.508793,127.002301,3동,롯데건설(주),2022,280,지역난방,열병합,34층,22층,1.88,0,1,73.52,132.36,54.98,100.96,서울시 서초구 잠원동 74-2,아파트분양권,1,47.37,36.36,17266,1100,0,6,404,0.034653465,0.155940594,0.032178218,apartment_1165010650
서울시 서초구 서초동 1597-6,DK밸리뷰서초(주),37.487901,127.013867,1동,(주)소미건설,2022,105,개별난방,도시가스,19층,19층,0.54,0,1,32.13,35.06,26.35,28.75,서울시 서초구 서초동 1597-6,아파트분양권,1,52.94,57.75,267,600,0,3,583,0.017152659,0.137221269,0.053173242,apartment_1165010859
"서울시 서초구 반포동 114-1,4,5번지",더샵반포리버파크(도시형),37.498597,126.992533,1동,(주)포스코건설,2022,140,개별난방,도시가스,7층,7층,1,0,1,70.18,71.74,49.55,49.98,서울시 서초구 사평대로 73,아파트분양권,1,39.13,35.71,16255,600,0,12,520,0.209615385,0.163461538,0.046153846,apartment_1165010723
